Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Last Temptation of Christ,1988,Scorsese, M.,http://www.imdb.com/Title?0095497,eng/fin,,XRET,
Last Train from Gun Hill,1959,Sturges, J.,http://www.imdb.com/title/tt0052993/,eng/eng,,RUND-TING,
Last Woman on Earth,1960,,http://us.imdb.com/Title?0054017,,,,
Le Cercle rouge,1970,Melville, J.-P.,http://www.imdb.com/title/tt0065531/,,3,MAAP-PAIR,
Le Corbeau,1943,,http://us.imdb.com/Title?0035753,,,XRET,
Le deuxième Souffle 2,1966,Melville, J.-P.,http://www.imdb.com/title/tt0060305/,fra/eng,37,MAAP-PAIR,
Le Doulos,1962,Melville, J.-P.,http://www.imdb.com/title/tt0054821/,fra/eng,4,MAAP-PAIR,
Le Foto di Gioia Delirium,1987,Bava, L.,http://www.imdb.com/title/tt0093043/,,39,A-DYN,
Le Samourai,1967,Melville, J.-P.,http://www.imdb.com/title/tt0062229/,fra/eng,81,MAAP-PAIR,
Les Amants The Lovers,1958,Malle, Louis,http://www.imdb.com/title/tt0052556/,fra/eng,,KIRV-MAAO,
Les Diaboliques,1955,Clouzot,http://www.imdb.com/title/tt0046911/,fra/eng,,,
Les Héroïnes du mal,1979,Borowczyk, Walerian,http://www.imdb.com/title/tt0079320/,fra/eng,109,A-DYN,
Les Vacances de M. Hulot,1953,Tati, J.,http://www.imdb.com/title/tt0046487/,fra,146,RUND-TING,
Life of Brian,1979,Jones, T.,http://www.imdb.com/title/tt0079470/,eng,133,HERN-KIRU,
Lifeforce,1985,Hooper, T.,http://www.imdb.com/title/tt0089489/,eng,140,HERN-KIRU,
Lisa e il diavolo,1972,Bava, M.,http://www.imdb.com/title/tt0068863/,eng/-,,XRET,
Little Big Man,1970,Penn, A.,http://www.imdb.com/title/tt0065988/,eng,47,PAIS-RUMO,
Live and Let Die,1973,Hamilton, Guy,http://www.imdb.com/title/tt0070328/,eng/fin,,XRET,
Luca il contrabbandiere,1980,Fulci, L.,http://us.imdb.com/Title?0081081,ita/eng,75,E-HERM,
Lucky Luciano,1973,,http://us.imdb.com/Title?0071782,eng/fin,,XRET,
Luther,2003,Till, E.,http://www.imdb.com/title/tt0309820/,eng,138,RUND-TING,
Maa,1976,,http://www.imdb.com/title/tt0276309/,hin/eng,,XRET,
Maailman kahdeksan ihmettä,1990,TV,http://www.imdb.com/title/tt0166446/,fin/-,,L,
MacKennas Gold,1969,Lee Thompson, J. ,http://www.imdb.com/title/tt0064615/,eng/eng,166,KIRV-MAAO,
Mad Max,1979,Miller, G.,http://www.imdb.com/title/tt0079501/,eng,10,MAAP-PAIR,
Magnum Force,1973,Post, Ted,http://www.imdb.com/title/tt0070355/,eng/eng,70,PAIS-RUMO,
Maschera del Demonio Black Sunday,1960,Bava, M,http://www.imdb.com/title/tt0054067/,,,XBOX,http://jupiter.neetud.com/2008/01/black-sunday-1960.html
Masters of Horror: Jenifer,2005,Argento, D.,http://www.imdb.com/title/tt0643108/,eng/est,,XRET,
Meet the Feebles,1989,Jackson, P.,http://www.imdb.com/title/tt0097858/,eng/fin,,XRET,
Memoirs of Geisha,2005,Marshall, R.,http://www.imdb.com/title/tt0397535/,eng/est,,XRET,
Mesto vstrechi iszmenit nelzja,1979,,http://www.imdb.com/title/tt0078655/,rus/eng,,XRET,
Metropolis,1927,Lang, F.,http://www.imdb.com/title/tt0017136/,,181,KIRV-MAAO,
Metroporisu,2001,Rintaro,http://www.imdb.com/title/tt0293416/,jap/eng,65,RUND-TING,
Miami Vice,2006,Mann, M.,http://www.imdb.com/title/tt0430357/,,1,MAAP-PAIR,
Milano calibro 9,1972,Di Leo, F.,http://www.imdb.com/title/tt0067429/,ita/eng,24,A-DYN,
Milano: il clan dei Calabresi,1974,Stegani, Giorgio,http://www.imdb.com/title/tt0198757/,ita/,,A-DYN,
Mirror Crackd,1980,Hamilton, G.,http://www.imdb.com/title/tt0081163/,eng/fin,,XRET,
Mon oncle,1958,Tati, J.,http://www.imdb.com/title/tt0050706/,fra,147,RUND-TING,
Monty Python and the Holy Grail,1975,Gilliam, Terry,http://www.imdb.com/title/tt0071853/,eng/,186,E-HERM,
Monty Python Flying Circus E1.1,1.2,1.3,1969,,http://www.imdb.com/title/tt0063929/,eng,,XRET,
Moon,2009,Jones, D.,http://www.imdb.com/title/tt1182345/,eng/eng,,,
Moonraker,1979,Gilbert, L.,http://us.imdb.com/Title?0079574,eng/fin,,XRET,
Mosura Mothra,1961,Honda, Ishiro,http://www.imdb.com/title/tt0055198/,jap/,,HERN-KIRU,
Mr. Majestyk,1974,Fleischer, R.,http://www.imdb.com/title/tt0071866/,eng/eng,90,E-HERM,http://jupiter.neetud.com/2009/01/mr-majestyk-1974.html
Münchhausen,1943,Albers, Hans,http://www.imdb.com/title/tt0036191/,ger/eng,116,A-DYN,
Murderock - uccide a passo di danza,1984,Fulci, L.,http://www.imdb.com/title/tt0087759/,eng/-,77,E-HERM,http://jupiter.neetud.com/2008/12/murderock-1984.html
Nachts, wenn Dracula erwacht El conde Dracula 2,1970,Franco, J.,http://www.imdb.com/title/tt0065569/,eng/-,45,E-HERM,http://jupiter.neetud.com/2008/03/nachts-wenn-dracula-erwacht-1970.html
Nanook of the North,1922,Flahery, R.,http://www.imdb.com/title/tt0013427/,-/-,114,E-HERM,
Narayama Bushiko,1958,Kinoshita, Keisuke,http://www.imdb.com/title/tt0051980/,,,HERN-KIRU,
Narayama bushiko 2,1983,Imamura, Shohei,http://www.imdb.com/title/tt0084390/,jap/eng,149,HERN-KIRU,
National Geographic: Sea Monsters,,DOC,,eng,104,,
Nattevagten,1994,Bornedal, Ole ,http://www.imdb.com/title/tt0110631/,dan/eng,11,A-DYN,http://jupiter.neetud.com/2008/12/nightwatch-1994.html
Necronomicon,1993,Gans, C., Kaneko, S.,http://www.imdb.com/title/tt0107664/,eng/-,43,E-HERM,
Nico - Above the Law,1988,Davis, A.,http://www.imdb.com/title/tt0094602/,eng/,97,A-DYN,
Night of Ghouls,1959,Wood Jr, Ed,http://www.imdb.com/title/tt0156843/,eng/-,,XBOX,
Nineteen Eighty-Four,1984,Radford, M.,http://us.imdb.com/Title?0087803,,52,PAIS-RUMO,
Non si deve profanare il sonno dei morti Let Sleeping Corpses Lie,1974,Grau, Jorge ,http://www.imdb.com/title/tt0071431/,esp/eng,49,E-HERM,Luu
Nora ino Stray Dog,1949,Kurosawa, A.,http://www.imdb.com/title/tt0041699/,jpn/eng,,XBOX,
Nosferatu,1922,Murnau, F. W.,http://www.imdb.com/title/tt0013442/,-/eng,103,MAAP-PAIR,
Nosferatu, Phantom der Nachts,1979,Hertzog,http://www.imdb.com/title/tt0079641/,ger/eng,153,HERN-KIRU,
Octopussy,1983,Glen, John,http://www.imdb.com/title/tt0086034/,,67,E-HERM,
Olsenbanden 4,1973,Bohwim, Knut,http://www.imdb.com/title/tt0132377/,dan/fin,26,A-DYN,; vale olsenbanden mitte see Egon, kes kinos
Once Upon a Time in America 2,1984,Leone, S.,http://www.imdb.com/title/tt0087843/,eng,173,KIRV-MAAO,2x
Once Upon a Time in the West,1968,,http://www.imdb.com/title/tt0064116/,eng/eng,,XRET,
One Flew Over Cuckoos Nest,1975,Forman, Milos,http://www.imdb.com/title/tt0073486/,eng/eng,114,E-HERM,
Onibaba,1964,Shindo, Oneto,http://www.imdb.com/title/tt0058430/,jap/eng,72,RUND-TING,
Operazione paura Kill, Baby... Kill!,1966,Bava, M.,http://www.imdb.com/title/tt0060794/,eng/eng,,XBOX,
Ordinary Decent Criminal,2000,,http://us.imdb.com/Title?0160611,eng/est,,XRET,
Orgazmo,1997,,http://www.imdb.com/title/tt0124819/,eng/est,,XRET,
Otoshiana Pitfall,1962,Teshigahara, Hiroshi,http://www.imdb.com/title/tt0203612/,jap/eng,81,RUND-TING,
Pale Rider,1985,Eastwood, C.,http://www.imdb.com/title/tt0089767/,eng/eng,,XRET,
Panic In Needle Park,1971,,http://www.imdb.com/title/tt0067549/,eng/fin,,XRET,
Papillon,1973,Schaffner, F.,http://us.imdb.com/Title?0070511,,140,RUND-TING,
Paprika,2006,Kon, S.,http://www.imdb.com/title/tt0851578/,jap/eng,183,KIRV-MAAO,
Per qualche dollaro in più For a Few Dollars More,1965,Leone, S.,http://www.imdb.com/title/tt0059578/,eng,,,
Per un pugno di dollari Fistful of Dollars,1964,Leone, S.,http://www.imdb.com/title/tt0058461/,eng/fin,,XRET,
Phantom,1922,Murnau, F. W. ,http://www.imdb.com/title/tt0013496/,-/eng,82,MAAP-PAIR,
Phantom of the Opera,1998,Argento, D.,http://www.imdb.com/title/tt0119889/,ita/eng,13,A-DYN,
Pierrot le Fou,1965,Godard, J.-L.,http://www.imdb.com/title/tt0059592/,fra/eng,,XRET,http://jupiter.neetud.com/2007/12/hull-pierrot-1965.html
Pink Panther Strikes Again,1976,Edwards, Blake,http://www.imdb.com/title/tt0075066/,eng/fin,,XRET,
Pirates,1986,Polanski, R.,http://www.imdb.com/title/tt0091757/,eng/-,46,PAIS-RUMO,
Pit and the Pendulum,1961,Corman, Roger,http://www.imdb.com/title/tt0055304/,eng/,101,A-DYN,
Plan 9 From Outer Space,1959,Wood Jr. Ed,http://us.imdb.com/Title?0052077,eng/-,,XBOX,
Planet of the Apes,1968,Schaffner, F.,http://us.imdb.com/Title?0063442,,139,RUND-TING,
Planet Terror,2007,Rodriguez, R.,http://www.imdb.com/title/tt1077258/,eng,41,PAIS-RUMO,
Play Time,1967,Tati, J.,http://us.imdb.com/Title?0062136,,160,RUND-TING,
Porno Holocaust,1981,DAmato, J.,http://www.imdb.com/title/tt0235686/,,103,A-DYN,Luu
Prince of Darkness,1987,Carpenter, J.,http://www.imdb.com/title/tt0093777/,eng/eng,105,A-DYN,
Profondo rosso 2,1975,Argento, D.,http://www.imdb.com/title/tt0073582/,ita/fin,1,A-DYN,
Pulgasari,1985,Chong Gon Jo,http://www.imdb.com/title/tt0089851/,kor/eng,5,A-DYN,http://jupiter.neetud.com/2008/10/pulgasari-1985.html
Pusher,1996,Refn, N. W.,http://www.imdb.com/title/tt0117407/,dan/fin,,XRET,
Pusher 3,2005,Refn, N. W.,http://us.imdb.com/Title?0425379,dan/fin,56,PAIS-RUMO,
Pusher II,2004,Refn, N. W.,http://us.imdb.com/Title?0396184,dan/fin,55,PAIS-RUMO,
Rashomon,1950,Kurosawa, A.,http://us.imdb.com/Title?0042876,,,XBOX,
Rasputin: The Mad Monk,1966,,http://www.imdb.com/title/tt0059635/,eng/-,,XRET,
Red Dwarf S12 2,1988,TV,http://www.imdb.com/title/tt0094535/,eng/eng,7,L,
Rejected Cartoons,2000,Hertzfeldt, Don ,http://www.imdb.com/title/tt0234588/,eng,121,HERN-KIRU,
Renaissance,2006,Volckman, C.,http://www.imdb.com/title/tt0386741/,,169,TINK-YVER,
Repulsion,1965,Polanski, R.,http://www.imdb.com/title/tt0059646/,,44,PAIS-RUMO,
Reservoir Dogs,1992,Tarantino, Q.,http://www.imdb.com/title/tt0105236/,eng/fin,142,RUND-TING,
Return of the Fly,1959,,http://www.imdb.com/title/tt0053219/,eng/eng,,XRET,
Revenge of the Pink Panther,1978,Edwards, Blake,http://www.imdb.com/title/tt0078163/,eng/fin,,XRET,
Rio Bravo,1959,,http://www.imdb.com/title/tt0053221/,eng/eng,,XRET,
Rio Lobo,1970,Hawks, Howard,http://www.imdb.com/title/tt0066301/,eng/,52,E-HERM,o: John Wayne
Rise and Fall of Idi Amin,1981,Patel, S.,http://www.imdb.com/title/tt0081430/,eng/,,PAIS-RUMO,
Robinson Crusoe on Mars,1964,Haskin, Byron,http://www.imdb.com/title/tt0058530/,eng/eng,113,E-HERM,http://jupiter.neetud.com/2009/01/robinson-crusoe-on-mars-1964.html
Rosemarys Baby,1968,Polanski, Roman,http://www.imdb.com/title/tt0063522/,eng/eng,193,PAIS-RUMO,
Ruja,2008,Ojasoo, Semper,,est/-,,XRET,
Rukajärven tie,1999,Saarela, O.,http://www.imdb.com/title/tt0162625/,fin/est,,XRET,
Saatana pisar,1993,Piestrak, M.,http://www.imdb.com/title/tt0204635/,rus/-,,,
Sakuran,2006,Ninagawa,http://www.imdb.com/title/tt0794338/,jpn/eng,26,MAAP-PAIR,
Salò o le 120 giornate di Sodoma 2,1975,Pasolini, P. P.,http://www.imdb.com/title/tt0073650/,,63,PAIS-RUMO,
Samurai,1965,Okamoto, Kinachi,http://www.imdb.com/title/tt0059673/,jap/,67,PAIS-RUMO,
Saw,2004,Wan, J.,http://www.imdb.com/title/tt0387564/,eng/swe,168,TINK-YVER,
Scanners,1981,Cronenberg, D.,http://www.imdb.com/title/tt0081455/,eng/eng/fin,96,A-DYN,
Scarface,1932,Hawks, H.,http://www.imdb.com/title/tt0023427/,eng,63,E-HERM,
Scarface,1983,De Palma, B.,http://us.imdb.com/Title?0086250,eng/eng,,XRET,
Secret Space Vol 1,2007,DOC,http://www.secretspacedvd.com/,,151,RUND-TING,Dokumentaal
Seddok, lerede di Satana Atom Age Vapire,1960,Majano, A.,http://www.imdb.com/title/tt0054285/,eng/-,19,MAAP-PAIR,
Seksmisja,1984,Machulski, J.,http://www.imdb.com/title/tt0088083/,pol/eng,35,MAAP-PAIR,
Serenity,2005,Whedon, J.,http://www.imdb.com/title/tt0379786/,,161,TINK-YVER,
Serpico,1973,Lumet, S.,http://www.imdb.com/title/tt0070666/,,96,KIRV-MAAO,
She-wolf of London,1946,,http://www.imdb.com/title/tt0038934/,eng/eng,,XBOX,
Shichinin no samurai Seven Samurai,1954,Kurosawa, A.,http://us.imdb.com/Title?0047478,jpn/eng,,XBOX,
Shin jingi no hakaba Graveyeard of Honor,2002,Miike, T.,http://www.imdb.com/title/tt0316599/,jap/est,,XRET,
Shin Zatôichi: Yabure! Tojin-ken Zatoichi 22,1971,Kimiyoshi, Y.,http://www.imdb.com/title/tt0066602/,jap/eng,134,HERN-KIRU,
Shogun 4,1980,,http://www.imdb.com/title/tt0080274/,eng/eng,,XBOX,
Short Circuit,1986,Badham, John ,http://www.imdb.com/title/tt0091949/,eng/-,9,A-DYN,http://jupiter.neetud.com/2008/11/lhis-1986.html
Short Films of Jan Svankmajer,,Svankmajer, Jan,,,10,L,
Sien nui yau wan Chinese Ghost Story,1987,Ching, Siu-Tung,http://www.imdb.com/title/tt0093978/,chn/eng,106,A-DYN,
Siin me oleme!,1979,Nõmmik, S.,http://us.imdb.com/Title?0374223,est/-,29,MAAP-PAIR,
Silent Running,1972,Trumbull, Douglas,http://www.imdb.com/title/tt0067756/,eng/eng,178,TINK-YVER,
Sleeper,1973,Allen, W.,http://www.imdb.com/title/tt0070707/,eng/eng,,XRET,
Solaris 2,1972,Tarkovski, A.,http://us.imdb.com/Title?0069293,rus/,129,RUND-TING,
Soleil rouge Red Sun,1971,Young, Terence,http://www.imdb.com/title/tt0067770/,eng/fin,,XRET,
Son of Dracula,1943,,http://www.imdb.com/title/tt0036376/,eng/fin,,XBOX,
Son of Frankenstein,1939,,http://www.imdb.com/title/tt0031951/,eng/eng,,XBOX,
Son of the Dragon,2006,Wu, D.,http://www.imdb.com/title/tt0874679/,eng/eng,165,TINK-YVER,
Song of the South,1946,,http://www.imdb.com/title/tt0038969/,eng/-,42,E-HERM,
Sorcerer,1977,Friedkin, W.,http://us.imdb.com/Title?0076740,eng/,68,E-HERM,
Soylent Green,1973,Fleischer, Richard,http://www.imdb.com/title/tt0070723/,eng/eng,86,E-HERM,
Spartacus 2,1960,Kubrick, S.,http://www.imdb.com/title/tt0054331/,eng,193,KIRV-MAAO,2x
Spy Sorge,2003,,http://us.imdb.com/Title?0316665,eng/est,,XRET,
Staflik a Spagetka,,,,,,,
Stalker,1979,Tarkovski, A.,http://us.imdb.com/Title?0079944,rus/,,RUND-TING,
Star Trek IV: The Voyage Home,1986,Nimoy, L.,http://www.imdb.com/title/tt0092007/,eng/fin,,XRET,
Star Wars: Clone Wars,2008,Filoni, D.,http://www.imdb.com/title/tt1185834/,eng/eng,110,E-HERM,
Stargate,1994,Emmerich, R.,http://www.imdb.com/title/tt0111282/,eng,64,E-HERM,
Starman,1984,Carpenter, J.,http://www.imdb.com/title/tt0088172/,eng,95,A-DYN,
Straw Dogs,1971,,http://us.imdb.com/Title?0067800,eng/-,,XRET,
Sudden Impact,1983,Eastwood, Clint,http://www.imdb.com/title/tt0086383/,eng/eng,93,E-HERM,
Suicide Kings,1997,OFallon, P.,http://us.imdb.com/Title?0120241,,21,MAAP-PAIR,
Suna no onna Woman in the Dunes,1964,Teshigahara, Hiroshi,http://www.imdb.com/title/tt0058625/,jap/eng,,RUND-TING,
Suspiria,1977,Argento, D.,http://www.imdb.com/title/tt0076786/,eng/-,,XRET,
Tabor ukhodit v nebo,1975,,http://us.imdb.com/Title?0073781,rus/fin,,XRET,
Tanin no kao The Face of Another,1966,Teshigahara, Hiroshi,http://www.imdb.com/title/tt0061065/,jap/eng,83,RUND-TING,
Tarzan Escapes,1936,Thorpe, Richard; o: Johnny Weissmüller,http://www.imdb.com/title/tt0028345/,,125,RUND-TING,
Tarzan the Ape Man,1932,Van Dyke, W.S.,http://www.imdb.com/title/tt0023551/,,176,TINK-YVER,
Taxi Driver,1976,Scorsese, M.,http://www.imdb.com/title/tt0075314/,,137,RUND-TING,
Tenebre Tenebrae,1982,Argento, D.,http://www.imdb.com/title/tt0084777/,ita/fin,,XRET,
Terminator Salvation,2009,McG,http://www.imdb.com/title/tt0438488/,eng/eng,,,
Testament professora douelja,1984,Menaker, L.,http://www.imdb.com/title/tt0088447/,rus/eng,,XRET,http://jupiter.neetud.com/2007/11/professor-dowelli-testament-1984.html
The 7th Voyage of Sinbad,1958,Juran, N.,http://us.imdb.com/Title?0051337,,137,HERN-KIRU,
The Addiction,1995,,http://www.imdb.com/title/tt0112288/,eng/est,,XRET,
The Best of Father Ted,1995,Lowney, D.,http://www.imdb.com/title/tt0111958/,eng,186,KIRV-MAAO,
The Blob,1958,Yeaworth Jr.,http://www.imdb.com/title/tt0051418/,,,,
The Bourne Identity 2,1988,Young, Roger,http://www.imdb.com/title/tt0094791/,eng/eng,181,TINK-YVER,http://jupiter.neetud.com/2007/10/bourne-identity-19882002.html
The Boys from Brazil,1978,,http://us.imdb.com/Title?0077269,,,XRET,
The Bridge on the River Kwai,1957,Lean, D.,http://www.imdb.com/title/tt0050212/,eng/eng,185,KIRV-MAAO,
The Burning,1981,Maylam, T.,http://www.imdb.com/title/tt0082118/,,30,MAAP-PAIR,
The Call of Cthulhu,2005,Leman, A.,http://us.imdb.com/Title?0478988,-/eng,165,KIRV-MAAO,
The China Syndrome,1979,Bridges, J.,http://www.imdb.com/title/tt0078966/,eng/eng,98,A-DYN,
The Counterfeit Traitor,1962,,http://www.imdb.com/title/tt0055871/,eng/eng,,XRET,
The Day of the Locust,1975,Schlesinger, John,http://www.imdb.com/title/tt0072848/,eng/eng,84,RUND-TING,
The Day of the Triffids,1981,Hannam, K.,http://www.imdb.com/title/tt0081850/,eng/eng,50,E-HERM,http://jupiter.neetud.com/2008/05/day-of-triffids-1981.html
The Day the Earth Stood Still,1951,Wise, R.,http://www.imdb.com/title/tt0043456/,eng/eng,179,TINK-YVER,
The Deer Hunter,1978,Cimino, M,http://www.imdb.com/title/tt0077416/,eng/eng,110,A-DYN,
The Driver,1978,Hill, Walter,http://www.imdb.com/title/tt0077474/,eng/eng,157,HERN-KIRU,http://jupiter.neetud.com/2009/02/driver-1978.html
The Dunwich Horror,1970,Haller,D.,http://www.imdb.com/title/tt0065669/,eng/eng,111,E-HERM,http://jupiter.neetud.com/2008/09/dunwich-horror-1970.html
The Early Bird,1965,Asher, R.,http://www.imdb.com/title/tt0059143/,eng/eng,10,A-DYN,o: N. Wisdom
The Enforcer,1976,Fargo, James,http://www.imdb.com/title/tt0074483/,eng/eng,94,E-HERM,
The Exorcism of Emily Rose,2005,Derrickson, S.,http://us.imdb.com/Title?0404032,,87,A-DYN,
The Fly,1958,Neumann, Kurt,http://www.imdb.com/title/tt0051622/,eng,33,MAAP-PAIR,
The Funeral,1996,Ferrara, Abel,http://us.imdb.com/Title?0116378,eng/est,,XRET,
The Gods Must Be Crazy,1980,Uys, J.,http://us.imdb.com/Title?0080801,,171,TINK-YVER,
The Gods Must Be Crazy II,1989,Uys, J.,http://us.imdb.com/Title?0097443,,172,TINK-YVER,
The Golden Voyage of Sinbad,1974,Hessler, G.,http://us.imdb.com/Title?0071569,,138,HERN-KIRU,
The Great Escape,1963,Sturges, J.,http://www.imdb.com/title/tt0057115/,,149,RUND-TING,
The Hitchhikers Guide to the Galaxy,2005,Jennings, G.,http://us.imdb.com/Title?0371724,eng/eng,136,HERN-KIRU,
The Hunger,1983,Scott, Tony o: Bowie, Deneuve,http://www.imdb.com/title/tt0085701/,eng/eng,154,RUND-TING,
The Illusionist,2006,Burger, N.,http://www.imdb.com/title/tt0443543/,,85,A-DYN,
The Killer Elite,1975,Peckinpah, S.,http://www.imdb.com/title/tt0073240/,,50,PAIS-RUMO,
The Killing,1956,Kubrick, S.,http://us.imdb.com/Title?0049406,eng,180,KIRV-MAAO,
The Last Emperor,1987,Bertolucci, B.,http://www.imdb.com/title/tt0093389/,org/fin,,XRET,
The Last King of Scotland,2006,MacDonald, K.,http://www.imdb.com/title/tt0455590/,eng/eng,23,MAAP-PAIR,
The Last Temptation of Christ,1988,Scorsese, M.,http://us.imdb.com/Title?0095497,eng/fin,,XRET,
The Legend of the Hell House,1973,Hough, J.,http://www.imdb.com/title/tt0070294/,eng,132,HERN-KIRU,
The Lord of the Rings,1978,Bakshi, Ralph,http://www.imdb.com/title/tt0077869/,eng/eng,31,A-DYN,
The Magnificent Seven,1960,Sturges, J.,http://www.imdb.com/title/tt0054047/,eng/eng,,XRET,
The Man Who Shot Liberty Valance,1962,Ford, John,http://www.imdb.com/title/tt0056217/,eng/,51,E-HERM,o: Wayne
The Meaning of Life,1983,Jones, Terry,http://www.imdb.com/title/tt0085959/,eng/,93,KIRV-MAAO,
The Mechanic,1972,Winner, M.,http://us.imdb.com/Title?0068931,eng/fin,,XRET,
The Odd Couple,1968,Saks, Gene,http://www.imdb.com/title/tt0063374/,,153,RUND-TING,
The Omega Man,1971,Sagal, Boris,http://www.imdb.com/title/tt0067525/,eng,88,RUND-TNG,
The Omen,1976,Donner, R.,http://www.imdb.com/title/tt0075005/,,,A-DYN,
The Passion of the Christ,2004,,http://us.imdb.com/Title?0335345,org/est,,XRET,
The Prisoner 6,1967,SERIES,http://us.imdb.com/Title?0061287,eng/eng,,XBOX,
The Quatermass Xperiment,1955,,http://us.imdb.com/Title?0049646,eng/-,,XRET,
The Quiet Earth,1985,Murphy, Geoff,http://www.imdb.com/title/tt0089869/,eng/-,111,MAAP-PAIR,http://jupiter.neetud.com/2009/01/quiet-earth-1985.html
The Road to Wellville,1994,,http://us.imdb.com/Title?0111001,eng/est,,XRET,
The Satanic Rites of Dracula,1973,Gibson, Alan,http://www.imdb.com/title/tt0070634/,eng/-,41,E-HERM,
The Shining 2,1980,Kubrick, S.,http://www.imdb.com/title/tt0081505/,eng/,197,KIRV-MAAO,
The Sound of Music,1965,Wise, R.,http://www.imdb.com/title/tt0059742/,eng,167,TINK-YVER,
The Spy Who Loved Me,1977,Gilbert, L.,http://www.imdb.com/title/tt0076752/,eng/fin,,XRET,
The Taking of Power of Louis XIV,1966,Rossellini, Roberto,http://www.imdb.com/title/tt0060860/,fra/eng,73,PAIS-RUMO,http://jupiter.neetud.com/2009/01/lugu-pikesekuningast.html
The Thief of Bagdad,1940,Berger, L.,http://us.imdb.com/Title?0033152,eng/-,30,A-DYN,
The Thing,1982,Carpenter, J.,http://www.imdb.com/title/tt0084787/,eng/eng,106,A-DYN,
The Threepenny Opera,1931,Pabst, Georg Wilhelm,http://www.imdb.com/title/tt0021818/,,74,PAIS-RUMO,
The Toxic Avenger uncut 2,1984,Kaufman-Hertz,http://www.imdb.com/title/tt0090190/,eng/-,147,HERN-KIRU,
The Treasure of Sierra Madre,1948,Huston, J.,http://www.imdb.com/title/tt0040897/,eng/eng,125,HERN-KIRU,
The True Story of Frank Zappas 200 Motels,1988,Zappa, F.,http://www.imdb.com/title/tt0096313/,eng,166,TINK-YVER,Dokumentaal
The Twelve Chairs,1970,Brooks, M.,http://www.imdb.com/title/tt0066495/,eng/,33,A-DYN,
The Ugly,1997,Reynolds, Scott,http://www.imdb.com/title/tt0120401/,eng/swe,,,
The Uncanny,1977,Horror Box,http://www.imdb.com/title/tt0076853/,eng/-,,XBOX,
The Valley of Gwangi,1969,OConnolly, J.,http://www.imdb.com/title/tt0065163/,eng,9,MAAP-PAIR,
The Vikings,1958,Fleischer, R.,http://www.imdb.com/title/tt0052365/,eng/eng,57,E-HERM,Luu
The Village,2004,Night Shyamalan, M.,http://www.imdb.com/title/tt0368447/,,13,MAAP-PAIR,
The Wall,1982,Parker, A.,http://www.imdb.com/title/tt0084503/,eng,53,PAIS-RUMO,
The Wicker Man,1973,Hardy, R.,http://www.imdb.com/title/tt0070917/,eng/-,74,E-HERM,Lee, Woodward
The Wild Blue Yonder,2005,Herzog, W.,http://www.imdb.com/title/tt0443693/,,144,HERN-KIRU,
The Wild Bunch,1969,Peckinpah, S.,http://us.imdb.com/Title?0065214,eng/eng,,XRET,
The Wolf Man,1945,,http://www.imdb.com/title/tt0034398/,eng/eng,,XBOX,
The X-Files S1 5,1993,TV,http://www.imdb.com/title/tt0106179/,,,L,
The X-Files S2 7,,,,,,,
The Young Ones S1-S2 2,1982,TV,http://www.imdb.com/title/tt0083505/,,5,L,
Theatre of Blood,1973,Hickox, D.,http://us.imdb.com/Title?0070791,,139,HERN-KIRU,
Them!,1954,Douglas, G.,http://us.imdb.com/Title?0047573,,81,A-DYN,
Three Days of the Condor,1975,Pollack, S.,http://www.imdb.com/title/tt0073802/,eng/eng,42,PAIS-RUMO,http://jupiter.neetud.com/2008/05/kondori-kolm-peva-1975.html
THX 1138,1971,Lucas, George,http://www.imdb.com/title/tt0066434/,eng/eng,92,KIRV-MAAO,
Tiempo di massacro,1966,Fulci, L.,http://www.imdb.com/title/tt0061074/,,38,A-DYN,
Time Bandits,1981,Gilliam, T.,http://us.imdb.com/Title?0081633,eng/fin,,XRET,
Tinker, Tailor, Soldier, Spy 2,1979,Irvin, J.,http://www.imdb.com/title/tt0080297/,eng/,127,HERN-KIRU,
Titus,1999,Taymor, Julie,http://www.imdb.com/title/tt0120866/,eng/eng,159,RUND-TING,
Tokyo Gore Police,2008,Nishimura, Yoshi,http://www.imdb.com/title/tt1183732/,jap/eng,91,MAAP-PAIR,
Toology,2001,DOC,http://www.blockbuster.com/movies/tool-toology-unauthorized-biography.html,,,XRET,Dokumentaal
Tootsie,1982,Pollack, S,http://www.imdb.com/title/tt0084805/,eng/eng,66,PAIS-RUMO,
Topâzu Tokyo Decadence,1992,Murakami, Ryu,http://www.imdb.com/title/tt0105622/,,32,MAAP-PAIR,
Tortura,2008,Effenberger, M,http://www.imdb.com/title/tt1402362/,ger/-,97,E-HERM,
Trafic,1971,Tati, J.,http://www.imdb.com/title/tt0069400/,fra,116,RUND-TING,
Trail of the Pink Panther,1982,Edwards,B.,http://www.imdb.com/title/tt0084814/,eng/eng,58,E-HERM,Luu
Trainspotting,1996,Boyle, D.,http://www.imdb.com/title/tt0117951/,eng,96,A-DYN,
Triumph des Willens,1935,Riefenstahl, L.,http://www.imdb.com/title/tt0025913/,ger/eng,43,PAIS-RUMO,
Tropa de Elite,2007,Padilha, J.,http://www.imdb.com/title/tt0861739/,por/eng,7,MAAP-PAIR,
Twins of Evil,1971,Hammer Box,http://www.imdb.com/title/tt0069427/,eng/-,,XBOX,
