Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Bullitt,1968,Yates, P.,http://www.imdb.com/title/tt0062765/,eng/eng,,XRET,
Buster Keaton Vol 1,,MIX,,,,XRET,
Butch Cassidy and Sundance Kid,1969,Hill, G. R.,http://www.imdb.com/title/tt0064115/,eng/fin,,XRET,
Caligula,1979,Brass, T.,http://www.imdb.com/title/tt0080491/,,89,A-DYN,Luu
Captain Kidd,,,http://us.imdb.com/Title?0037576,,,,
Cartesius,1974,Rossellini, Roberto,http://www.imdb.com/title/tt0161382/,ita/eng,,PAIS-RUMO,
Casablanca,1942,Curtiz, Michael,http://www.imdb.com/title/tt0034583/,eng/,102,A-DYN,
Casino Royale,1967,Feldman, C.,http://www.imdb.com/title/tt0061452/,eng,73,E-HERM,
Cherry, Harry and Raquel,1970,Meyer, R.,http://www.imdb.com/title/tt0064160/,eng/-,,,
Children of Men,2006,Cuarón, A.,http://www.imdb.com/title/tt0206634/,eng/eng,92,A-DYN,
Children of the Dune,2000,,http://us.imdb.com/Title?0142032,,,,
Choke,2001,Sjogren, J.,http://www.imdb.com/title/tt0265118/,eng/est,,XRET,
Chronological Donald 1 3,,TV,,,1,L,
Cidade de Deus,2002,Meirelles, F.,http://www.imdb.com/title/tt0317248/,por/eng,24,MAAP-PAIR,
Circus of Fear,1966,Moxey, J. L.,http://www.imdb.com/title/tt0060865/,eng,,XRET,Lee, Kinski
Città violenta Violent City,1976,Sollima, S.,http://www.imdb.com/title/tt0065555/,eng/-,,RUND-TING,
Clan of the Cave Bear,1986,Chapman, M.,http://www.imdb.com/title/tt0090848/,eng,99,A-DYN,
Clash of the Titans,1981,Davis, D. ,http://www.imdb.com/title/tt0082186/,,40,A-DYN,
Cleopatra 2,1963,Mankiewicz, J.,http://www.imdb.com/title/tt0056937/,eng/eng,,XRET,
Close Encounters of the Third Kind,1977,Spielberg, S.,http://www.imdb.com/title/tt0075860/,eng,144,RUND-TING,
Common Law Cabin,1967,Meyer, R.,http://www.imdb.com/title/tt0061504/,eng/-,,,
Conan the Barbarian,1982,Milius, J.,http://www.imdb.com/title/tt0082198/,eng,20,MAAP-PAIR,
Conan the Destroyer,1984,Fleischer, R. ,http://www.imdb.com/title/tt0087078/,eng,66,E-HERM,
Convoy,1978,Peckinpah, S.,http://www.imdb.com/title/tt0077369/,eng/-,51,PAIS-RUMO,
Coogans Bluff,1968,Siegel, D.,http://www.imdb.com/title/tt0062824/,eng/eng,121,RUND-TING,
Cool Hand Luke,1967,Rosenberg, S.,http://www.imdb.com/title/tt0061512/,,45,PAIS-RUMO,
Cop Land,1997,,http://www.imdb.com/title/tt0118887/,eng/fin,,XRET,
Corpse Bride,2005,Burton, Tim ,http://www.imdb.com/title/tt0121164/,eng/eng,29,A-DYN,
Cosi fan tutte,1992,Brass, Tinto,http://www.imdb.com/title/tt0104014/,eng/est,,XRET,
Count Dracula,1977,Saville, P.,http://www.imdb.com/title/tt0075882/,,156,RUND-TING,
Countess Dracula,1971,Hammer Box,http://www.imdb.com/title/tt0065580/,eng/-,,XBOX,http://jupiter.neetud.com/2007/11/countess-dracula-1971.html
Coup de Torchon,1981,Tavernier, Bertrand,http://www.imdb.com/title/tt0070723/,fra/eng,87,RUND-TING,
Cross of Iron,1977,Peckinpah, S.,http://www.imdb.com/title/tt0074695/,,48,PAIS-RUMO,
Dacii,1967,Nicolaescu, S.; hardsub,http://www.imdb.com/title/tt0060482/,rum/eng,31,MAAP-PAIR,http://jupiter.neetud.com/2008/02/daaklased-1967.html
Dads Army,,,http://us.imdb.com/Title?0062552,,,XRET,
Dagon,2001,,http://us.imdb.com/Title?0264508,eng/est,,XRET,
Dai-bosatsu tôge Sword of Doom,1966,Okamoto, K,http://www.imdb.com/title/tt0060277/,jap/eng,106,MAAP-PAIR,
Damien - Omen II,1978,Taylor, D.,http://www.imdb.com/title/tt0077394/,eng/eng,83,RUND-TING,
Dark Star,1974,Carpenter, J.,http://www.imdb.com/title/tt0069945/,eng/,15,A-DYN,
Das Boot,1981,Petersen, W.,http://www.imdb.com/title/tt0082096/,ger/eng,,XRET,
Das Cabinet des Dr. Caligari,1920,Wiene, Robert,http://www.imdb.com/title/tt0010323/,-/eng,,,
Das Leben der Anderen,2006,Von Donnersmarck, F.H.,http://www.imdb.com/title/tt0405094/,ger/eng,,,
Das Testament des Dr. Mabuse,1933,Lang, Fritz,http://www.imdb.com/title/tt0023563/,,170,KIRV-MAAO,
Daughter of Dracula,1936,,http://www.imdb.com/title/tt0027545/,eng/fin,,XBOX,
Dead Pool,1988,Van Horn, Buddy,http://www.imdb.com/title/tt0094963/,eng/eng,158,HERN-KIRU,
Déjà vu,1988,,http://us.imdb.com/Title?0097253,rus/eng,,XRET,
Der Golem,1920,Boese, Karl,http://www.imdb.com/title/tt0011237/,-/ger,119,A-DYN,
Der Untergang,2004,Hirschbiegel, O.,http://us.imdb.com/Title?0363163,ger/-,135,HERN-KIRU,
Dersu Uzala,1975,Kurosawa,A.,http://us.imdb.com/Title?0071411,rus/fin,,XRET,
Dharam-Veer,1977,,http://www.imdb.com/title/tt0213611/,hin/eng,,XRET,
Die Säge des Todes Bloody Moon,1981,Franco, Jess ,http://www.imdb.com/title/tt0083156/,eng/-,44,E-HERM,
Dirty Harry,1971,Siegel, Don,http://www.imdb.com/title/tt0066999/,,127,RUND-TING,
Dirty Harry Bonus,,DOC,,,9,L,
Django,1967,Corbucci, Sergio,http://www.imdb.com/title/tt0060315/,,95,A-DYN,
Django spara per primo,1966,De Marino, A.,http://www.imdb.com/title/tt0061582/,ita/eng,93,A-DYN,
Dobry vojak Svejk,1957,Stekly, Karel,http://www.imdb.com/title/tt0049147/,chz/eng,,XRET,
Doctor Who: Keeper of Traken,1981,Black, J.,http://www.imdb.com/title/tt0562925/,eng,25,A-DYN,
Dr. No,1962,Young, T.,http://us.imdb.com/Title?0055928,eng/fin,,XRET,
Dracula,1931,,http://us.imdb.com/Title?0021814,eng/eng,,XBOX,
Dracula cerca sangue di vergine... e morì di sete!!! Blood for Dracula,1974,Morrissey, Paul,http://www.imdb.com/title/tt0071233/,eng/-,8,MAAP-PAIR,
Dracula Has Risen from the Grave,1968,Francis, Freddie,http://www.imdb.com/title/tt0062909/,eng/eng,47,E-HERM,
Dreams,1990,Kurosawa, A.,http://www.imdb.com/title/tt0100998/,jap/eng,159,HERN-KIRU,
Dreams in the Witch House,2005,Gordon, S.,http://www.imdb.com/title/tt0643104/,eng/-,60,E-HERM,
Due occhi diabolici Two Evil Eyes,1990,Argento+Romero,http://www.imdb.com/title/tt0100827/,eng/-,107,A-DYN,
Dune,1984,Lynch, D.,http://us.imdb.com/Title?0087182,eng/est,,XRET,
È già ieri,2004,Manfredonia, G.,http://www.imdb.com/title/tt0374358/,ita/eng,2,MAAP-PAIR,
È tornato Sabata... hai chiuso unaltra volta / Return of Sabata,1971,,http://www.imdb.com/title/tt0067672/,eng/eng,,PAIS-RUMO,
